"open","high","low","close","vwap","count","base_currency","base_issuer","base_volume","counter_currency","counter_issuer","counter_volume","open_time","close_time","start","buy_volume"
"0.22958900","0.23100000","0.20300000","0.21317160","0.21194902","3108","XRP","","6792713.628553","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1439709.029054141","2017-09-09T23:43:11Z","2017-09-09T23:43:11Z","2017-09-07T00:00:00Z","2404824.8714418057"
"0.21223979","0.22329858","0.19750000","0.21165636","0.21395770","4502","XRP","","7737854.212835999","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1655573.511890098","2017-09-12T23:56:01Z","2017-09-12T23:56:01Z","2017-09-10T00:00:00Z","3533339.2835865263"
"0.21078240","0.21162025","0.15120000","0.18383143","0.17903095","10077","XRP","","12380645.46154484","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","2216518.702301364","2017-09-15T23:54:00Z","2017-09-15T23:54:00Z","2017-09-13T00:00:00Z","6701357.568795347"
"0.18309437","0.19875949","0.15120990","0.19373245","0.18094245","4106","XRP","","5615352.165439006","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1016055.556835007","2017-09-18T23:57:31Z","2017-09-18T23:57:31Z","2017-09-16T00:00:00Z","2512399.246386518"
"0.19325630","0.19452898","0.17053400","0.17061905","0.18217298","3198","XRP","","4966821.091675004","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","904820.6137953019","2017-09-21T23:58:21Z","2017-09-21T23:58:21Z","2017-09-19T00:00:00Z","2798805.832140078"
"0.17061100","0.18033717","0.16738540","0.17370047","0.17414517","2284","XRP","","3745835.612448","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","652319.1760206193","2017-09-24T23:59:52Z","2017-09-24T23:59:52Z","2017-09-22T00:00:00Z","1842620.0648905789"
"0.17370047","0.21425361","0.17370047","0.20931549","0.19366213","3586","XRP","","4760446.202582","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","921918.1508700515","2017-09-27T23:59:21Z","2017-09-27T23:59:21Z","2017-09-25T00:00:00Z","1631051.9856333004"
"0.20928200","0.21500000","0.18771721","0.19818204","0.19955207","3247","XRP","","3929320.377741999","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","784104.0188446629","2017-09-30T23:53:41Z","2017-09-30T23:53:41Z","2017-09-28T00:00:00Z","1472532.2576280974"
"0.19694690","0.20787948","0.19433609","0.20204940","0.20193232","1922","XRP","","2650196.377227001","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","535160.3031613611","2017-10-01T00:00:02Z","2017-10-03T23:55:41Z","2017-10-01T00:00:00Z","773308.5639037121"
"0.20089864","0.24319795","0.20088967","0.23333411","0.22700819","3851","XRP","","7556495.692289993","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1715386.443136013","2017-10-04T00:00:02Z","2017-10-06T23:59:31Z","2017-10-04T00:00:00Z","2929907.7462283424"
"0.23356425","0.27880000","0.23176789","0.24896379","0.25882632","5720","XRP","","8279974.166904998","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","2143075.253312656","2017-10-07T00:00:20Z","2017-10-09T23:59:52Z","2017-10-07T00:00:00Z","3140989.2423030944"
"0.24737570","0.26762452","0.22069990","0.24805290","0.25321344","5079","XRP","","6317255.783650998","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1599614.084952775","2017-10-10T00:00:01Z","2017-10-12T23:59:21Z","2017-10-10T00:00:00Z","1728225.147513444"
"0.24779533","0.26958973","0.23169697","0.26374882","0.25080158","5619","XRP","","9943783.632734004","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","2493916.685509947","2017-10-13T00:00:12Z","2017-10-15T23:59:31Z","2017-10-13T00:00:00Z","2440637.184603624"
"0.26293442","0.29603446","0.20258610","0.21839425","0.24509739","11322","XRP","","16677721.76632101","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","4087666.05644429","2017-10-16T00:00:10Z","2017-10-18T23:55:10Z","2017-10-16T00:00:00Z","8047684.991851855"
"0.21844450","0.23312262","0.19608024","0.20841321","0.21275991","3363","XRP","","4806993.147391999","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1022735.4114164581","2017-10-19T00:00:01Z","2017-10-21T23:59:21Z","2017-10-19T00:00:00Z","1504098.6884104991"
"0.20820110","0.21629397","0.18300000","0.20640704","0.20192122","5167","XRP","","6606833.237896992","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1334059.828301673","2017-10-22T00:00:01Z","2017-10-24T23:53:20Z","2017-10-22T00:00:00Z","1792111.0974496289"
"0.20559506","0.20698614","0.19537867","0.19983300","0.20185662","2162","XRP","","3334540.178447999","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","673099.024935931","2017-10-25T00:01:12Z","2017-10-27T23:40:31Z","2017-10-25T00:00:00Z","1716228.5080504434"
"0.19957020","0.20700000","0.18250828","0.20032135","0.20027757","1580","XRP","","2275700.716482996","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","455771.8174466163","2017-10-28T00:00:40Z","2017-10-30T00:14:50Z","2017-10-28T00:00:00Z","552791.9074063362"
"0.20216542","0.20669145","0.18000000","0.20155309","0.19231420","5782","XRP","","7082318.795946002","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1362030.498769869","2017-10-31T00:25:40Z","2017-11-02T23:59:31Z","2017-10-31T00:00:00Z","2851019.2849684055"
"0.20143200","0.22330776","0.19339556","0.19848461","0.20541420","4507","XRP","","7280926.709236997","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1495605.766202343","2017-11-03T00:00:12Z","2017-11-05T23:59:11Z","2017-11-03T00:00:00Z","3087541.9877358405"
"0.20049090","0.22242671","0.19748433","0.21630446","0.20522480","5430","XRP","","17253764.792909","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","3540900.434679687","2017-11-06T00:11:32Z","2017-11-08T23:56:50Z","2017-11-06T00:00:00Z","6302330.422176361"
"0.21663891","0.22199990","0.20187596","0.21000010","0.21238689","4790","XRP","","5569286.797609002","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1182843.527950318","2017-11-09T00:00:51Z","2017-11-11T23:57:00Z","2017-11-09T00:00:00Z","1026247.668627157"
"0.20912452","0.21060988","0.17300000","0.20437226","0.19833130","7303","XRP","","8629479.250696998","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1711495.822977741","2017-11-12T00:01:32Z","2017-11-14T23:59:02Z","2017-11-12T00:00:00Z","4486693.850405705"
"0.20503490","0.26499735","0.20249022","0.22462490","0.22879399","6657","XRP","","8442965.270390987","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1931699.688539125","2017-11-15T00:00:12Z","2017-11-17T23:57:50Z","2017-11-15T00:00:00Z","2275227.0610953355"
"0.22577463","0.24806938","0.21624478","0.23919284","0.23226276","4406","XRP","","5823891.053735","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1352673.005364639","2017-11-18T00:06:51Z","2017-11-20T23:57:11Z","2017-11-18T00:00:00Z","2816027.954008726"
"0.23982000","0.24806938","0.22600000","0.24124031","0.23895578","3031","XRP","","3949575.861142002","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","943773.9779800996","2017-11-21T00:00:42Z","2017-11-23T23:59:52Z","2017-11-21T00:00:00Z","1579386.5290961917"
"0.24113342","0.25075872","0.23080000","0.24517310","0.24198098","3322","XRP","","3565050.368026002","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","862674.3750951968","2017-11-24T00:00:11Z","2017-11-26T23:55:42Z","2017-11-24T00:00:00Z","1720343.3769117845"
